名字,花色,特点,喜好,厌恶,出生,性别,绝育情况,从属关系
皮皮,鼻子附近白色，胸口前白色 ,腿短，是否可撸看它心情，饿了很粘人,爬树,被抱，吃饭时被摸,,公,未绝育,尾巴之前的cp
尾巴,橘白猫，前腿白色,眼睛大，尾巴很长,拣树叶玩，吃鸡胸肉冻干,长时间被撸，不喜欢吃猫粮,,母,未绝育,皮皮之前的cp
奶牛,黑白色，大块面积白色，背部黑色块,嘴边有痣，耳朵有绝育标记,翻垃圾桶，抓鸟，睡在臭水沟,黑伞,,母,已绝育,大黑之前的cp
乖乖,短毛三花,壮，粘人，胖胖的,炫饭，拍屁股，玩绳子,车车,,母,未绝育,
大鼻涕,全橘,脸大，经常打喷嚏,拍屁股，睡觉,摸前爪,,公,未绝育,
大黑,身上黑色，有皮肤病，毛色变黄,走路很娘,喜欢抖屁股，喜欢小母猫,不咋吃猫粮,,公,未绝育,奶牛前夫
圆圆,橘色,尾巴断了一点 ,拍屁股，玩逗猫棒,摸肚子,,公,未绝育,十一栋大橘孩子
小灰,灰色为主，爪子白色，嘴巴附近白色,胆小,,,,母,未绝育,大黑孩子
花花,长毛三花,漂亮，亲人，脾气很好,猫条,讨厌大鼻涕,,母,,
十一栋大橘（西区围墙小猫妈）,全橘，很淡的颜色,眼睛是绿色,哈人,讨厌别人靠近,,母,,
肥肥,蓝白,胆子小怕人,乖乖的cp,未知,,,,
馆长,黑白,给撸,睡南图二楼的沙发,不咋吃冻干,,母,,
十一,全橘,胆子小怕人,哈人,怕人,,,,
